candidate_id,symbol,signal_close,mismatches,max_abs_diff,candidate_present
BABYUSDT__20250808T000000Z,BABYUSDT,2025-08-08 00:00:00+00:00,0,0.0,True
PENGUUSDT__20250901T071500Z,PENGUUSDT,2025-09-01 07:15:00+00:00,0,0.0,True
HEIUSDT__20250925T060000Z,HEIUSDT,2025-09-25 06:00:00+00:00,0,0.0,True
LINKUSDT__20251018T201500Z,LINKUSDT,2025-10-18 20:15:00+00:00,0,0.0,True
HMSTRUSDT__20251113T180000Z,HMSTRUSDT,2025-11-13 18:00:00+00:00,0,0.0,True
HEIUSDT__20251206T114500Z,HEIUSDT,2025-12-06 11:45:00+00:00,0,0.0,True
AAVEUSDT__20260101T123000Z,AAVEUSDT,2026-01-01 12:30:00+00:00,0,0.0,True
XRPUSDT__20260125T063000Z,XRPUSDT,2026-01-25 06:30:00+00:00,0,0.0,True
LTCUSDT__20260216T053000Z,LTCUSDT,2026-02-16 05:30:00+00:00,0,0.0,True
BICOUSDT__20260314T121500Z,BICOUSDT,2026-03-14 12:15:00+00:00,0,0.0,True
AVAXUSDT__20260409T074500Z,AVAXUSDT,2026-04-09 07:45:00+00:00,0,0.0,True
SYNUSDT__20260504T043000Z,SYNUSDT,2026-05-04 04:30:00+00:00,0,0.0,True
BTCUSDT__20260527T114500Z,BTCUSDT,2026-05-27 11:45:00+00:00,0,0.0,True
EPICUSDT__20260620T103000Z,EPICUSDT,2026-06-20 10:30:00+00:00,0,0.0,True
FILUSDT__20260714T114500Z,FILUSDT,2026-07-14 11:45:00+00:00,0,0.0,True
ZECUSDT__20260807T234500Z,ZECUSDT,2026-08-07 23:45:00+00:00,0,0.0,True
