candidate_id,symbol,signal_close,mismatches,max_abs_diff,candidate_present
BABYUSDT__20250808T000000Z,BABYUSDT,2025-08-08 00:00:00+00:00,0,0.0,True
INJUSDT__20250901T070000Z,INJUSDT,2025-09-01 07:00:00+00:00,0,0.0,True
BICOUSDT__20250925T041500Z,BICOUSDT,2025-09-25 04:15:00+00:00,0,0.0,True
LINKUSDT__20251018T204500Z,LINKUSDT,2025-10-18 20:45:00+00:00,0,0.0,True
PENGUUSDT__20251113T180000Z,PENGUUSDT,2025-11-13 18:00:00+00:00,0,0.0,True
INJUSDT__20251206T103000Z,INJUSDT,2025-12-06 10:30:00+00:00,0,0.0,True
ETHUSDT__20260101T093000Z,ETHUSDT,2026-01-01 09:30:00+00:00,0,0.0,True
UNIUSDT__20260125T050000Z,UNIUSDT,2026-01-25 05:00:00+00:00,0,0.0,True
TAOUSDT__20260216T033000Z,TAOUSDT,2026-02-16 03:30:00+00:00,0,0.0,True
DASHUSDT__20260314T100000Z,DASHUSDT,2026-03-14 10:00:00+00:00,0,0.0,True
CATIUSDT__20260409T021500Z,CATIUSDT,2026-04-09 02:15:00+00:00,0,0.0,True
ENAUSDT__20260504T003000Z,ENAUSDT,2026-05-04 00:30:00+00:00,0,0.0,True
FILUSDT__20260527T101500Z,FILUSDT,2026-05-27 10:15:00+00:00,0,0.0,True
SUIUSDT__20260620T100000Z,SUIUSDT,2026-06-20 10:00:00+00:00,0,0.0,True
INJUSDT__20260714T114500Z,INJUSDT,2026-07-14 11:45:00+00:00,0,0.0,True
ZECUSDT__20260807T234500Z,ZECUSDT,2026-08-07 23:45:00+00:00,0,0.0,True
